recording_id,duration,conversation_detected,conversation_confidence,caller_has_speech,receiver_has_speech,caller_speech_duration,receiver_speech_duration,turn_switches,snr_db,is_mono
d4d9c3cffe3a5cba76f23168cb06195q,43.86,True,0.9934641350210969,True,True,10.53,23.996249999999993,10,105.486572265625,False
a4394614c2897821a663af15e3d2195h,18.04,True,1.0,True,True,4.691250000000002,3.3243750000000007,5,100.47354125976562,False
bd1e767362465bcff3c6df57ae9f195n,6.57975,False,0.2,True,False,5.8218749999999995,0,0,112.57091522216797,False
e76cca0652339812549dc1c3ff67195m,13.85975,True,0.7811857229280097,True,True,9.298125,1.3499999999999985,3,97.36138916015625,False
788e06d06140c2155af2a01dec72195h,13.67975,True,0.7270986745213549,True,True,11.458125000000003,3.1050000000000013,3,104.37064361572266,False
d954d8d53baa709b9667ec6108f1195e,12.67975,False,0.2,False,False,0.15187500000000043,0,0,78.43280792236328,False
078ca370556a57d71ef4d72f106c195q,3.87975,True,1.0,True,True,2.8012500000000005,1.8225000000000005,2,105.24324035644531,False
3813e2999602a53a1b05d76c7a5d195j,22.65975,True,0.9321510506798516,True,True,13.651874999999999,5.264999999999997,10,102.52951049804688,False
195d0895507705f4101e34e23d4c195g,5.73975,False,0.4,False,True,0.15187500000000043,0.5062499999999996,1,88.30918884277344,False
6b54e6e7aff90584fd0dda4d9f10195n,165.96,True,0.7,True,True,109.14750000000004,109.14750000000004,47,102.53730773925781,True
fa12e23b39a272fe08aa26a5bfcd195g,164.53975,True,0.9726621783968311,True,True,109.13062500000001,38.221875000000004,52,101.08856964111328,False
481f84855221f213eba52e6c3dce195q,90.07975,True,0.9878912147161433,True,True,53.206875000000025,42.05250000000003,30,101.82502746582031,False
a40eaf5096d814742b49c0cc6bd0195j,13.2,True,0.9131794167503766,True,True,6.108749999999999,1.5524999999999998,3,100.36598205566406,False
045ddd321c7000352b7212127485195j,12.92,True,0.936641834365326,True,True,1.1137499999999996,1.1474999999999955,2,101.11611938476562,False
